user_id,UserSalesTotal,BaseStation,LaunchButton,StatusIndicatorSm,StatusIndicatorLg,StatusIndicatorMd,Dashboard,Alarm,DashboardMonitor,SignalAmplifier,SpyCamera,Remote,CouponCode1,CouponCode2,CouponCode3
221799029,5022,0,2,1,2,3,1,2,0,0,0,0,0,0,0
224356353,5020,0,0,0,0,0,0,0,10,0,0,0,0,0,0
224669567,5020,0,0,0,0,0,0,0,10,0,0,0,0,0,0
225278285,4935,0,3,0,1,0,1,3,0,0,0,0,0,0,0
222280235,4918,0,0,0,0,0,7,0,5,0,0,0,0,0,0
221766139,4862,0,0,0,0,0,1,0,9,0,0,0,0,0,0
221737803,4862,0,0,0,0,0,1,0,9,0,0,0,0,0,0
225214529,4849,0,0,1,4,8,0,0,1,2,0,0,0,0,0
226320139,4804,0,2,0,0,0,0,2,4,0,0,0,0,0,0
221682649,4697,0,2,2,0,0,2,0,3,0,1,0,0,0,0
226262961,4681,0,1,2,7,0,0,1,0,1,0,0,0,0,0
223858955,4678,0,2,1,2,3,0,2,0,0,0,0,0,0,0
221820787,4655,0,0,0,1,0,8,0,3,0,0,0,0,0,0
225174049,4639,0,0,9,0,2,5,0,1,0,0,0,0,0,0
218817677,4557,0,1,0,0,0,1,0,7,0,0,0,0,0,0
225287393,4533,0,2,12,0,0,0,1,0,0,0,0,0,0,0
222888447,4525,0,0,0,1,0,12,0,0,0,0,0,1,0,0
223957625,4524,0,0,14,0,4,0,0,1,0,0,0,0,0,0
223938397,4518,0,0,0,0,0,0,0,9,0,0,0,0,0,0
222233177,4518,0,0,0,0,0,0,0,9,0,0,0,0,0,1
220483935,4511,0,2,2,0,0,0,1,4,0,0,0,0,0,0
224237443,4488,0,0,6,1,5,0,2,0,0,0,0,0,0,0
222066703,4410,0,1,0,0,0,0,1,6,0,0,0,0,0,0
223831125,4386,0,1,2,4,1,0,0,0,0,2,0,0,0,0
222062149,4355,0,1,5,1,0,1,1,1,0,1,0,0,0,0
219627783,4310,0,2,4,1,0,0,1,2,0,0,0,0,0,0
222616219,4302,0,2,0,0,0,0,2,3,0,0,0,0,0,0
225720023,4299,0,0,2,0,0,9,1,0,1,0,0,0,0,0
224118533,4244,0,1,1,0,2,8,0,0,0,0,0,0,0,0
220931239,4235,0,2,1,2,1,1,1,1,0,0,0,0,0,0
221382085,4219,0,0,1,0,0,0,0,8,0,0,0,0,0,0
224609859,4219,0,0,1,0,0,0,0,8,0,0,0,1,0,0
222138555,4202,0,0,0,0,0,2,0,7,0,0,0,0,0,0
222819631,4139,0,1,0,0,0,10,0,0,0,0,0,0,0,0
224261225,4122,0,1,0,0,0,5,0,2,0,1,0,0,0,0
222618749,4106,0,0,2,0,0,2,0,6,0,0,0,0,0,0
224543573,4105,0,2,0,0,0,0,1,4,0,0,0,0,0,0
225050585,4105,0,3,0,0,0,0,0,4,0,0,0,0,0,0
225415411,4094,0,2,2,2,1,0,0,1,0,1,0,0,0,0
222575739,4090,0,2,3,2,2,0,1,0,0,0,0,0,0,0
226293827,4078,0,1,4,0,6,0,1,0,1,0,0,0,0,0
223488563,4069,0,1,2,1,6,0,1,0,1,0,0,0,0,0
224109931,3995,0,0,0,0,1,2,0,6,0,0,0,0,0,0
225177085,3986,0,2,0,0,0,2,2,1,0,0,0,3,2,0
222996731,3948,0,0,2,0,0,3,0,5,0,0,0,0,0,0
224676651,3947,0,1,6,1,2,1,1,0,0,0,0,0,0,0
224501069,3925,0,0,12,1,1,0,1,0,1,0,0,0,0,0
221560703,3901,0,3,2,0,0,0,1,0,0,1,0,2,2,1
224181277,3898,0,2,0,0,1,0,0,3,0,1,0,0,0,0
220958057,3896,0,1,4,1,2,0,2,0,0,0,0,0,0,0
218786811,3887,0,2,2,2,2,0,0,0,0,1,0,0,0,0
223671735,3884,0,1,0,2,0,2,0,2,0,1,0,0,0,0
221850641,3880,0,2,2,3,3,0,0,0,0,0,0,0,0,0
221207515,3877,0,2,1,1,4,0,1,0,0,0,0,0,0,0
223939915,3792,0,1,0,1,0,2,0,4,0,0,0,0,0,0
222858593,3740,0,2,0,0,1,1,1,2,0,0,0,0,0,0
222584847,3702,0,2,5,0,2,0,1,0,0,0,0,0,0,0
223502731,3686,0,0,0,0,2,9,0,0,0,0,0,0,0,0
226692049,3654,0,1,2,0,0,1,0,3,0,1,0,0,0,0
219311533,3637,0,1,1,0,0,2,0,2,0,1,1,0,0,0
222586365,3631,0,0,0,3,2,1,0,3,0,0,0,0,0,0
